,pid,lab,ml,ap,dv,phi,theta,depth
131,099c0519-640b-4eb7-867c-998dc337579d,mrsicflogellab,3481.000,7967.000,4637.000,159.118,22.822,3837.335
132,ca5404f7-297c-40f1-bbf0-5ac0a63e24f8,danlab,6545.000,9025.000,4707.000,-0.000,10.529,4406.442
133,11f70c37-a546-439a-9fb7-da6b6ebfb0cb,danlab,8255.000,12394.000,6653.000,64.902,10.873,4941.571
134,fcc167d6-cb53-4dc7-a58f-06a53cfabc84,wittenlab,4502.000,9229.000,3869.000,-123.093,5.489,3384.253
135,3220377b-f53e-412d-a859-ef8ccb8f0a40,zadorlab,4587.000,7782.000,6484.000,27.975,15.576,6394.208
136,f93bfce4-e814-4ae3-9cdf-59f4dcdedf51,angelakilab,4417.000,8151.000,4972.000,155.461,18.218,4629.299
137,2122d807-13ab-494e-a1cc-e55cf24d3e9f,cortexlab,4944.000,5907.000,4621.000,149.509,13.708,4009.996
138,759860bc-732d-4b9e-aeb4-154ef37c056b,cortexlab,7990.000,11792.000,4912.000,165.152,7.091,3690.726
139,0777b1bf-964b-49b7-888b-8a6c9df09c3b,angelakilab,4374.000,5810.000,5242.000,155.717,15.528,4403.003
140,01864e9d-0dbe-41d4-9e3a-0285348ecfc1,angelakilab,4113.000,9819.000,6584.000,28.340,14.997,5651.663
141,84b29fd0-2a50-4e09-9898-aec0d63433b7,churchlandlab,5861.000,7934.000,4348.000,154.560,13.165,4285.892
142,31f3e083-a324-4b88-b0a4-7788ec37b191,angelakilab,3998.000,7737.000,3776.000,132.610,11.261,3390.819
143,e8be67e4-d457-4e36-8ae4-5d324dc11c21,cortexlab,2490.000,5851.000,7245.000,0.094,6.560,6436.987
144,a8adabd7-7979-4fcf-99e7-d9bd9d27896f,cortexlab,4032.000,4405.000,7141.000,21.172,9.215,6145.439
145,efd88e2e-7d5c-49a9-b3cd-cf8c19ee91c1,angelakilab,3122.000,4124.000,6226.000,-69.104,5.080,4844.621
146,588070f0-b2a1-4d55-8946-66d1a37c7586,cortexlab,4660.000,2975.000,6087.000,107.000,12.561,4084.727
147,01937b3b-8719-43c3-b5bd-14e6b0cf2802,wittenlab,6377.000,11514.000,6461.000,14.986,12.994,5399.508
148,b7612153-372f-415a-9770-7101fbbbdc59,danlab,4732.000,6263.000,4276.000,161.828,19.181,3785.926
149,6452af8b-b05d-4b91-ac8f-1a2b1fc80dd6,cortexlab,2485.000,5033.000,6241.000,-14.967,0.819,4741.175
150,621ca6ee-17e8-4953-b107-c5d4b4161eb4,cortexlab,6685.000,12860.000,4995.000,168.258,7.350,3271.657
151,80f6ffdd-f692-450f-ab19-cd6d45bfd73e,churchlandlab_ucla,4487.000,8154.000,4606.000,153.030,18.776,4310.896
152,1e890a6a-b944-47d7-958c-c84481ade224,cortexlab,4346.000,11050.000,5212.000,-176.885,13.427,3970.235
153,b7c57ce1-a75b-410a-94b6-8abee5a92c4f,angelakilab,5661.000,9768.000,3932.000,165.715,13.200,2985.669
154,bf99284f-dc34-4652-baf1-ffaa1cc7fb05,mainenlab,3911.000,5983.000,6847.000,36.802,15.248,6241.643
155,a9e83d8a-7c90-4152-abad-53a1ad94d73a,angelakilab,4847.000,5746.000,4852.000,163.097,17.799,4177.185
156,caf2170c-5463-46ce-8cd0-66f2e1e3376d,mrsicflogellab,3909.000,10378.000,5311.000,152.441,15.747,4401.101
157,db22891d-02cc-4318-9594-53e042d40396,cortexlab,2603.000,8935.000,5721.000,2.630,13.653,5501.451
158,504a6317-20cb-44af-8809-1e577c016de0,cortexlab,5456.000,8202.000,4283.000,111.963,23.911,4329.403
159,d63e4767-a814-4ff2-8421-173c8bff4e22,hoferlab,5395.000,5385.000,4383.000,143.146,17.958,3634.904
160,818d2996-766a-4fd9-82b8-7e4cb080af0e,danlab,3577.000,7018.000,5202.000,155.922,16.029,4372.490
161,26af22bb-b295-4a45-8ed3-1700604c0708,cortexlab,5442.000,5015.000,5069.000,126.056,15.829,4151.522
162,bc1602ba-dd6c-4ae4-bcb2-4925e7c8632a,mainenlab,4092.000,6973.000,4692.000,-179.874,10.890,4192.471
163,63435e73-6a72-4007-b0da-03e6473e6870,cortexlab,2644.000,8931.000,5725.000,178.469,16.158,4112.189
164,19c9caea-2df8-4097-92f8-0a2bad055948,danlab,2755.000,5846.000,7056.000,140.900,2.264,5860.337
165,f6aad04f-d47c-434f-abec-bd39adec6908,cortexlab,3671.000,8310.000,5303.000,-9.463,4.611,5044.622
166,e50f63eb-fce0-4679-996d-b4c3cb4f3a62,cortexlab,5697.000,3787.000,5716.000,136.218,15.022,4390.603
167,2c401cbd-b95c-4ebe-8a83-92b55ab49542,cortexlab,4119.000,3044.000,5653.000,136.072,16.509,3392.505
168,adcd791c-ead3-4572-a9cb-028bbee1d2e4,mainenlab,5454.000,3896.000,5747.000,171.592,14.624,4621.599
169,f2a098e7-a67e-4125-92d8-36fc6b606c45,cortexlab,4555.000,7964.000,4565.000,160.174,15.497,4296.457
170,e9c04e7e-c075-4ee3-9750-dff255ec7e84,angelakilab,8835.000,12432.000,4504.000,170.445,14.024,2658.570
171,7c167d19-7b70-45bf-b0e8-9035227a359e,wittenlab,2635.000,9175.000,4268.000,-174.123,9.175,3056.821
172,43b9b189-5221-46a0-928a-e137bc326534,angelakilab,3469.000,10812.000,6977.000,46.499,6.227,5333.135
173,c9fb5e2e-bd92-41d8-8b7e-394005860a1e,wittenlab,2970.000,8182.000,6497.000,17.049,7.324,6197.986
174,1df6ebb3-9d16-4c0f-96cc-e1b1596d2006,cortexlab,1660.000,8068.000,6529.000,102.826,6.997,4991.213
175,fddceb2e-82ba-493d-baba-c5d8af65981f,mainenlab,5122.000,4937.000,5412.000,167.168,18.371,4464.177
176,9241a007-33e7-4573-8292-eebd7a718e70,cortexlab,3444.000,10023.000,6331.000,-103.728,0.856,5306.542
177,2ce1d485-ebce-41a2-a5ce-aa109d5a13a3,mainenlab,5210.000,3760.000,6018.000,144.333,13.621,4623.143
178,8d661567-49f3-4547-997d-a345c0ffe2dd,cortexlab,1230.000,6219.000,5458.000,-9.304,5.456,3674.827
179,37137b1d-34d4-4183-9796-abfc9ffb6abe,wittenlab,8296.000,11760.000,5045.000,179.033,8.840,3714.626
180,0252da71-5f32-4d11-b25a-2032ef5f9793,danlab,5392.000,9768.000,4385.000,-179.390,15.796,3803.640
181,eab93ab0-26e3-4bd9-9c53-9f81c35172f4,cortexlab,3826.000,8227.000,5679.000,176.108,12.755,5079.271
182,af2a0072-e17e-4368-b80b-1359bf6d4647,mainenlab,5561.000,5250.000,4114.000,173.835,19.412,3513.682
183,cf162e22-792b-4eef-9f98-0a436456ae04,cortexlab,7156.000,7689.000,4540.000,20.403,12.488,4163.209
184,aecd7612-b5c5-4ad2-9e76-e5b783387e47,cortexlab,5019.000,10915.000,6694.000,10.983,19.064,5865.505
185,2694aa18-bc02-485a-b9c9-ed8d6e715d63,hoferlab,3833.000,8494.000,5949.000,39.965,13.336,5933.724
186,c0e59477-43f0-4441-9f81-3a55ddad9dad,wittenlab,5217.000,11354.000,6961.000,-10.966,16.401,5979.566
187,ad292781-8f17-413c-9c19-4a2087ab976a,angelakilab,3269.000,8591.000,6302.000,95.917,4.365,5818.903
188,0228bcfd-632e-49bd-acd4-c334cf9213e9,mrsicflogellab,7320.000,12527.000,4747.000,172.272,18.405,3579.705
189,de5d704c-4a5b-4fb0-b4af-71614c510a8b,mrsicflogellab,7800.000,12601.000,5342.000,177.594,18.139,3937.500
190,d3b3c9a7-cf6a-4d25-b8da-e0f599a26191,wittenlab,4378.000,8314.000,5496.000,24.390,23.149,5787.074
191,20469b30-1cd8-4078-9883-a840a0f6d787,wittenlab,5955.000,3906.000,5618.000,130.684,26.159,4281.023
192,f698f893-da01-49a1-ae4b-16f7e42e5ff5,wittenlab,2647.000,9316.000,5465.000,164.541,13.009,4018.373
193,70da415f-444d-4148-ade7-a1f58a16fcf8,cortexlab,3982.000,8115.000,4517.000,141.771,16.332,4108.129
194,31dfa577-0a6c-41c0-ab8f-ad592ae2c6b1,cortexlab,4356.000,5872.000,5069.000,148.849,12.270,4292.412
195,06c6741e-9f2a-4114-8ca9-0dc5ccc951e6,hoferlab,5035.000,3288.000,5743.000,136.517,18.299,3995.200
196,485b50c8-71e1-4654-9a07-64395c15f5ed,steinmetzlab,4800.000,7947.000,4322.000,168.816,21.680,4139.867
197,ad315779-2b39-46c4-8348-b166e796fa7c,cortexlab,5433.000,3475.000,5556.000,15.759,17.348,4327.412
198,825ba9b8-ce03-49b7-b1a8-4d85ae2185af,cortexlab,3834.000,9850.000,6004.000,-122.042,2.313,5107.859
199,22212d26-a167-45fb-9963-35ecd003e8a2,cortexlab,4185.000,7716.000,4075.000,161.307,12.960,3693.650
200,a8c6584c-0658-490d-82e3-46f3b6404479,cortexlab,4317.000,8648.000,5797.000,25.722,4.049,5635.687
201,f639f4f3-ac14-4114-b712-f445463597e4,cortexlab,5186.000,7115.000,6622.000,7.573,7.881,6357.150
202,02328ef5-47d4-4690-b020-04b6315aa2d6,hoferlab,3217.000,4872.000,6777.000,26.869,9.380,5728.843
203,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,wittenlab,2494.000,10152.000,5065.000,25.717,10.952,4267.860
204,f5a89b48-fe42-43c5-a33c-c4cc39b8a279,cortexlab,2666.000,6447.000,6513.000,17.567,4.014,5752.276
205,05ccc92c-fcb0-4e92-84d3-de033890c7a8,mainenlab,2167.000,7294.000,5875.000,41.950,5.882,5026.421
206,02cc03e4-8015-4050-bb42-6c832091febb,churchlandlab_ucla,4961.000,8188.000,4751.000,155.609,20.351,4613.777
207,b543e81e-4c8f-415e-82ec-631b177d19d2,cortexlab,5100.000,8807.000,3341.000,-174.392,13.434,3152.238
208,c17772a9-21b5-49df-ab31-3017addea12e,hoferlab,4055.000,7776.000,4099.000,145.340,11.007,3691.714
209,0685d767-80a2-49b6-a51a-0e9b1dd7a14d,mrsicflogellab,4655.000,10614.000,6450.000,153.459,18.933,5788.057
210,c09b3c18-c9e5-4551-9a35-7b2a069f57ff,hoferlab,4774.000,5863.000,4320.000,75.266,11.775,3646.710
211,64f4afa4-ec5f-4ad6-ab28-415a9a8098ed,mainenlab,1971.000,8323.000,6243.000,2.929,9.396,5694.691
212,72274871-80e5-4fb9-be1a-bb04acebb1de,cortexlab,2641.000,9025.000,4200.000,-180.000,18.596,2795.493
213,94fcff55-2da2-4366-a2c7-2f58c05b54dc,danlab,4181.000,9702.000,6560.000,29.264,5.338,6085.964
214,e018f54c-e404-4232-8cb3-119ac1b2c7f1,cortexlab,5696.000,4596.000,5974.000,51.855,12.212,4884.327
215,d1d9defc-6f73-489f-9f14-2c0b5e970b2d,zadorlab,2475.000,5069.000,6095.000,72.906,7.752,4410.463
216,ad5277e5-933d-45e4-bade-c9bd0e1f144a,cortexlab,1238.000,8863.000,5590.000,-10.657,11.359,4452.580
